Name,Severity,Activation Period,Training Period,Test Period,Deduplication Period,Detection Modules,ATT&CK Tactic,ATT&CK Technique,XDR Agent,XDR Agent (with XTH),Windows Event Collector,PAN Platform Logs,Azure Audit Logs,GCP Audit Logs,Azure AD,Azure AD Audit Logs,AWS Audit Logs,Okta,Ping,OneLogin,Google Workspace Audit Logs,Office 365 Audit Logs,Box Audit Logs,DropBox Audit Logs,PAN Global Protect/3rd Party VPN
An AWS RDS instance was created from a snapshot,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Exfiltration (TA0010),Transfer Data to Cloud Account (T1537),,,,,,,,,X,,,,,,,,
An IAM group was created,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Persistence (TA0003),Create Account (T1136),,,,,,,,,X,,,,,,,,
A Kubernetes node service account activity from external IP,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),Valid Accounts: Default Accounts (T1078.001),,,,,X,X,,,X,,,,,,,,
MFA device was removed/deactivated from an IAM user,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,,,,,X,,,,,,,,
An AWS S3 bucket configuration was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005)Impact (TA0040),Impair Defenses (T1562)Data Encrypted for Impact (T1486),,,,,,,,,X,,,,,,,,
A Kubernetes deployment was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A Kubernetes service account was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
An AWS ElastiCache security group was modified or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,,,,,X,,,,,,,,
Unusual resource modification/creation,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040)Persistence (TA0003),Data Destruction (T1485)Account Manipulation (T1098),,,,,X,X,,,X,,,,,,,,
Unusual certificate management activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Credential Access (TA0006),Unsecured Credentials: Private Keys (T1552.004),,,,,X,X,,,X,,,,,,,,
A Kubernetes ephemeral container was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A Kubernetes secret was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006),Unsecured Credentials: Container API (T1552.007),,,,,X,X,,,X,,,,,,,,
A Kubernetes Pod was created with a sidecar container,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A Kubernetes ReplicaSet was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
AWS CloudWatch log stream deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040)Defense Evasion (TA0005),Data Destruction (T1485)Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,,,,,X,,,,,,,,
A Kubernetes Pod was deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,X,X,,,X,,,,,,,,
An AWS Lambda function was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Serverless Execution (T1648),,,,,,,,,X,,,,,,,,
An AWS SES identity was deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,,,,,X,,,,,,,,
AWS user creation,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Persistence (TA0003),Create Account: Cloud Account (T1136.003),,,,,,,,,X,,,,,,,,
Cloud compute serial console access,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Lateral Movement (TA0008),Remote Services: Direct Cloud VM Connections (T1021.008),,,,,X,X,,,X,,,,,,,,
AWS network ACL rule creation,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Persistence (TA0003)Exfiltration (TA0010),External Remote Services (T1133)Exfiltration Over Alternative Protocol (T1048),,,,,,,,,X,,,,,,,,
Cloud impersonation attempt by unusual identity type,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),Valid Accounts (T1078),,,,,,X,,,X,,,,,,,,
A cloud identity created or modified a security group,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Firewall (T1562.007),,,,,X,X,,,X,,,,,,,,
AWS Root account activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Initial Access (TA0001),Valid Accounts (T1078),,,,,,,,,X,,,,,,,,
Kubernetes Privileged Pod Creation,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Execution (TA0002),Escape to Host (T1611)Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A cloud snapshot was created or modified,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Exfiltration (TA0010)Defense Evasion (TA0005),Transfer Data to Cloud Account (T1537)Modify Cloud Compute Infrastructure (T1578),,,,,X,X,,,X,,,,,,,,
An identity attached an administrative policy to an IAM user/role,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004),Valid Accounts: Cloud Accounts (T1078.004),,,,,,,,,X,,,,,,,,
AWS STS temporary credentials were generated,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,,,,,X,,,,,,,,
An AWS Lambda Function was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002)Persistence (TA0003),Serverless Execution (T1648)Scheduled Task/Job: Scheduled Task (T1053.005),,,,,,,,,X,,,,,,,,
A cloud identity invoked IAM related persistence operations,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Account Manipulation (T1098)Create Account (T1136)Valid Accounts: Cloud Accounts (T1078.004),,,,,X,X,,,X,,,,,,,,
An AWS EFS file-share was deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,,,,,X,,,,,,,,
AWS Flow Logs deletion,Low,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,,,,,X,,,,,,,,
Suspicious API call from a Tor exit node,High,14 Days,30 Days,N/A (single event),1 Day,Cloud,Command and Control (TA0011),Proxy: Multi-hop Proxy (T1090.003),,,,,X,X,,,X,,,,,,,,
A Kubernetes service account has enumerated its permissions,Informational,14 Days,30 Days,N/A (single event),3 Days,Cloud,Discovery (TA0007),Container and Resource Discovery (T1613),,,,,X,X,,,X,,,,,,,,
A Kubernetes namespace was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Masquerading (T1036),,,,,X,X,,,X,,,,,,,,
AWS Config Recorder stopped,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,,,,,X,,,,,,,,
AWS Cloud Trail log trail modification,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040)Defense Evasion (TA0005),Data Manipulation (T1565)Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,,,,,X,,,,,,,,
Cloud Trail logging deletion,Low,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,,,,,X,,,,,,,,
EC2 snapshot attribute has been modification,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Exfiltration (TA0010),Transfer Data to Cloud Account (T1537),,,,,,,,,X,,,,,,,,
AWS SecurityHub findings were modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Indicator Removal (T1070),,,,,,,,,X,,,,,,,,
A user logged in to the AWS console for the first time,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005)Lateral Movement (TA0008),Use Alternate Authentication Material: Application Access Token (T1550.001)Use Alternate Authentication Material: Application Access Token (T1550.001),,,,,,,,,X,,,,,,,,
Kubernetes Pod Created With Sensitive Volume,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Execution (TA0002),Escape to Host (T1611)Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
Disable encryption operations,Low,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040),Data Manipulation (T1565),,,,,,,,,X,,,,,,,,
AWS network ACL rule deletion,Low,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,,,,,X,,,,,,,,
An AWS GuardDuty IP set was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,,,,,X,,,,,,,,
AWS IAM resource group deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040),Account Access Removal (T1531),,,,,,,,,X,,,,,,,,
Log4J exploitation attempt against cloud hosted resources,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001)Credential Access (TA0006),Exploit Public-Facing Application (T1190)Steal Application Access Token (T1528),,,,,X,X,,,X,,,,,,,,
Cloud unusual access key creation,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Account Manipulation: Additional Cloud Credentials (T1098.001),,,,,,X,,,X,,,,,,,,
Unusual cloud identity impersonation,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Defense Evasion (TA0005),Valid Accounts: Cloud Accounts (T1078.004)Abuse Elevation Control Mechanism: Temporary Elevated Cloud Access (T1548.005)Impersonation (T1656),,,,,,X,,,X,,,,,,,,
Penetration testing tool attempt,Informational,14 Days,30 Days,N/A (single event),7 Days,Cloud,Execution (TA0002),User Execution (T1204),,,,,,,,,X,,,,,,,,
A Kubernetes cluster role binding was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004),Account Manipulation: Additional Container Cluster Roles (T1098.006),,,,,X,X,,,X,,,,,,,,
An identity created or updated password for an IAM user,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Persistence (TA0003),Valid Accounts: Cloud Accounts (T1078.004)Valid Accounts: Cloud Accounts (T1078.004),,,,,,,,,X,,,,,,,,
Kubernetes scanning activity,Medium,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002)Discovery (TA0007),Deploy Container (T1610)Container and Resource Discovery (T1613),,,,,X,X,,,X,,,,,,,,
Remote usage of an AWS service token,Low,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006),Steal Application Access Token (T1528)Unsecured Credentials (T1552),,,,,,,,,X,,,,,,,,
Remote usage of AWS Lambda's token,Informational,14 Days,30 Days,N/A (single event),7 Days,Cloud,Credential Access (TA0006),Steal Application Access Token (T1528)Unsecured Credentials (T1552),,,,,,,,,X,,,,,,,,
An AWS SES Email sending settings were modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,,,,,X,,,,,,,,
Aurora DB cluster stopped,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040),Service Stop (T1489),,,,,,,,,X,,,,,,,,
A compute-attached identity executed API calls outside the instance's region,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001)Credential Access (TA0006),Valid Accounts: Cloud Accounts (T1078.004)Steal Application Access Token (T1528)Unsecured Credentials (T1552),,,,,,,,,X,,,,,,,,
An identity disabled bucket logging,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,,,,,X,,,,,,,,
A Kubernetes API operation was successfully invoked by an anonymous user,Medium,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),Valid Accounts: Default Accounts (T1078.001),,,,,X,X,,,X,,,,,,,,
Network sniffing detected in Cloud environment,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006)Discovery (TA0007),Network Sniffing (T1040),,,,,X,X,,,X,,,,,,,,
A Kubernetes role binding was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004),Account Manipulation: Additional Container Cluster Roles (T1098.006),,,,,X,X,,,X,,,,,,,,
An AWS EFS File-share mount was deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,,,,,X,,,,,,,,
Suspicious cloud compute instance ssh keys modification attempt,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Account Manipulation: SSH Authorized Keys (T1098.004),,,,,X,X,,,X,,,,,,,,
Unusual IAM enumeration activity by a non-user Identity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Discovery (TA0007),Account Discovery (T1087)Permission Groups Discovery (T1069)Cloud Service Discovery (T1526),,,,,,X,,,X,,,,,,,,
A Kubernetes cluster was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,X,X,,,X,,,,,,,,
AWS Role Trusted Entity modification,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Privilege Escalation (TA0004),Valid Accounts (T1078),,,,,,,,,X,,,,,,,,
Kubernetes cluster events deletion,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Tools (T1562.001),,,,,X,X,,,X,,,,,,,,
An operation was performed by an identity from a domain that was not seen in the organization,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),External Remote Services (T1133),,,,,X,X,,,X,,,,,,,,
Cloud Watch alarm deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,,,,,X,,,,,,,,
A Kubernetes service was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,X,X,,,X,,,,,,,,
An identity started an AWS SSM session,Informational,14 Days,30 Days,N/A (single event),3 Days,Cloud,Lateral Movement (TA0008),Remote Services: Direct Cloud VM Connections (T1021.008),,,,,,,,,X,,,,,,,,
A Kubernetes ConfigMap was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
A cloud storage configuration was modified,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Modify Cloud Compute Infrastructure (T1578),,,,,X,X,,,X,,,,,,,,
AWS EC2 instance exported into S3,Informational,14 Days,30 Days,N/A (single event),3 Days,Cloud,Exfiltration (TA0010),Transfer Data to Cloud Account (T1537),,,,,,,,,X,,,,,,,,
AWS web ACL deletion,Low,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,,,,,X,,,,,,,,
An AWS ElastiCache security group was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Firewall (T1562.007),,,,,,,,,X,,,,,,,,
Cloud identity reached a throttling API rate,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,X,X,,,X,,,,,,,,
S3 configuration deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040),Data Encrypted for Impact (T1486),,,,,,,,,X,,,,,,,,
Unusual AWS systems manager activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Modify Cloud Compute Infrastructure (T1578),,,,,,,,,X,,,,,,,,
AWS SSM send command attempt,Informational,14 Days,30 Days,N/A (single event),3 Days,Cloud,Lateral Movement (TA0008)Execution (TA0002),Remote Services: Direct Cloud VM Connections (T1021.008)Cloud Administration Command (T1651),,,,,,,,,X,,,,,,,,
A Kubernetes DaemonSet was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
A container registry was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,X,X,,,X,,,,,,,,
A cloud identity executed an API call from an unusual country,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Initial Access (TA0001),Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
Unusual cross projects activity,Low,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),Trusted Relationship (T1199),,,,,X,X,,,X,,,,,,,,
Unusual resource modification by newly seen IAM user,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001)Impact (TA0040),Valid Accounts: Cloud Accounts (T1078.004)Data Destruction (T1485),,,,,X,X,,,X,,,,,,,,
An AWS Route 53 domain was transferred to another AWS account,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Resource Development (TA0042),Acquire Infrastructure: Domains (T1583.001),,,,,,,,,X,,,,,,,,
AWS Guard-Duty detector deletion,Low,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,,,,,X,,,,,,,,
Suspicious heavy allocation of compute resources - possible mining activity,Medium,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040)Initial Access (TA0001),Resource Hijacking (T1496)Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
A Kubernetes dashboard service account was used outside the cluster,Medium,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001),External Remote Services (T1133),,,,,X,X,,,X,,,,,,,,
Activity in a dormant region of a cloud project,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Unused/Unsupported Cloud Regions (T1535),,,,,X,X,,,X,,,,,,,,
Billing admin role was removed,Low,14 Days,30 Days,N/A (single event),5 Days,Cloud,Defense Evasion (TA0005),Modify Cloud Compute Infrastructure (T1578),,,,,X,X,,,X,,,,,,,,
Suspicious objects encryption in an AWS bucket,High,14 Days,30 Days,1 Hour,1 Day,Cloud,Impact (TA0040),Data Encrypted for Impact (T1486),,,,,,,,,X,,,,,,,,
Abnormal Allocation of compute resources in multiple regions,Informational,14 Days,30 Days,30 Minutes,5 Days,Cloud,Impact (TA0040)Initial Access (TA0001),Resource Hijacking (T1496)Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
An identity dumped multiple secrets from a project,Low,14 Days,30 Days,1 Hour,6 Days,Cloud,Credential Access (TA0006)Collection (TA0009),Unsecured Credentials (T1552)Data from Cloud Storage (T1530),,,,,X,X,,,X,,,,,,,,
Storage enumeration activity,Informational,14 Days,30 Days,10 Minutes,5 Days,Cloud,Discovery (TA0007)Collection (TA0009),Cloud Storage Object Discovery (T1619)Data from Cloud Storage (T1530)Cloud Service Discovery (T1526),,,,,X,X,,,X,,,,,,,,
Suspicious identity downloaded multiple objects from a bucket,Low,14 Days,30 Days,1 Hour,5 Days,Cloud,Collection (TA0009)Exfiltration (TA0010),Data from Cloud Storage (T1530)Automated Exfiltration (T1020),,,,,X,X,,,X,,,,,,,,
Cloud user performed multiple actions that were denied,Informational,14 Days,30 Days,10 Minutes,5 Days,Cloud,Discovery (TA0007),Account Discovery (T1087)Permission Groups Discovery (T1069),,,,,X,X,,,X,,,,,,,,
Kubernetes enumeration activity,Informational,14 Days,30 Days,10 Minutes,7 Days,Cloud,Discovery (TA0007),Container and Resource Discovery (T1613)Cloud Service Discovery (T1526),,,,,X,X,,,X,,,,,,,,
Allocation of multiple cloud compute resources,Informational,14 Days,30 Days,1 Hour,5 Days,Cloud,Impact (TA0040)Initial Access (TA0001),Resource Hijacking (T1496)Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
IAM Enumeration sequence,Informational,14 Days,30 Days,10 Minutes,7 Days,Cloud,Discovery (TA0007),Account Discovery (T1087)Permission Groups Discovery (T1069)Cloud Service Discovery (T1526),,,,,,X,,,X,,,,,,,,
Impossible travel by a cloud identity,Informational,14 Days,30 Days,1 Hour,5 Days,Cloud,Initial Access (TA0001),Valid Accounts: Cloud Accounts (T1078.004),,,,,X,X,,,X,,,,,,,,
Multiple cloud snapshots export,Informational,14 Days,30 Days,2 Hours,5 Days,Cloud,Exfiltration (TA0010),Transfer Data to Cloud Account (T1537),,,,,X,X,,,X,,,,,,,,
Multiple failed logins from a single IP,Informational,14 Days,30 Days,1 Hour,5 Days,Cloud,Initial Access (TA0001),Trusted Relationship (T1199),,,,,X,X,,,X,,,,,,,,
An identity performed a suspicious download of multiple cloud storage objects,Informational,14 Days,30 Days,1 Hour,5 Days,Cloud,Collection (TA0009)Exfiltration (TA0010),Data from Cloud Storage (T1530)Automated Exfiltration (T1020),,,,,X,X,,,X,,,,,,,,
Cloud infrastructure enumeration activity,Informational,14 Days,30 Days,10 Minutes,5 Days,Cloud,Discovery (TA0007),Cloud Infrastructure Discovery (T1580)Cloud Service Discovery (T1526),,,,,,X,,,X,,,,,,,,
Deletion of multiple cloud resources,Informational,14 Days,30 Days,30 Minutes,5 Days,Cloud,Impact (TA0040)Initial Access (TA0001),Data Destruction (T1485)Valid Accounts: Cloud Accounts (T1078.004),,,,,X,X,,,X,,,,,,,,
Multi region enumeration activity,Informational,14 Days,30 Days,30 Minutes,5 Days,Cloud,Discovery (TA0007)Defense Evasion (TA0005),Cloud Infrastructure Discovery (T1580)Unused/Unsupported Cloud Regions (T1535)Cloud Service Discovery (T1526),,,,,X,X,,,X,,,,,,,,
Possible DCShadow attempt,High,14 Days,30 Days,N/A (single event),1 Day,,Credential Access (TA0006)Defense Evasion (TA0005),OS Credential Dumping (T1003)Rogue Domain Controller (T1207),X,,,X,,X,,,,,,,,,,,
An internal Cloud resource performed port scan on external networks,Medium,14 Days,30 Days,1 Hour,5 Days,Cloud,Discovery (TA0007)Impact (TA0040),Network Service Discovery (T1046)Resource Hijacking (T1496)Cloud Service Discovery (T1526),,,,,,X,,,,,,,,,,,
Upload pattern that resembles Peer to Peer traffic,Informational,14 Days,30 Days,30 Minutes,1 Day,,Command and Control (TA0011)Initial Access (TA0001),Application Layer Protocol (T1071)Non-Standard Port (T1571)Trusted Relationship (T1199)Phishing (T1566),X,,,X,,X,,,,,,,,,,,
